"productid","userid","productname","price","quantity","categoryid","title","description","comment","rating"
"516","12","Nike React Infinity Run Flyknit","30","10","81","sportshoes","Womens Road Running Shoes","Good Comfort","5"
"346","13","Nike Air Zoom Pegasus","60","12","81","sportshoes","Womens Road Running Shoes","Excellent Materials","5"
"850","14","Nike Wildhorse","80","13","61","shorts","Womens Heathered Running Shorts","Good comfort","4"
"569","15","Nike Sportswear Gym Vintage","90","14","61","shorts","Womens Heathered Running Shorts","not satisfied","2"
"670","16","Nike Therma-FIT Swoosh","70","20","71","tshirts","Womens Cropped Tank","Material quality is too good","5"
"780","17","Nike Air","90","15","71","tshirts","Womens Cropped Tank","Good Comfort","5"
"450","18","Nike Fast","59","5","55","leggins","Womens Mid-Rise Crop Pocket Running Leggings","Excellent Materials","5"
"560","12","Nike Sportswear","85","16","55","leggins","Womens Mid-Rise Crop Pocket Running Leggings","Good comfort","4"
"300","13","Nike Storm-FIT","30","25","63","jackets","Mens Running Jacket","not satisfied","2"
"310","14","Jordan Essentials","67","45","63","jackets","Mens Running Jacket","Material quality is too good","5"
